id,available_icu_beds_with_ventilator,total_beds_allocated_to_covid,pincode,total_beds_without_oxygen,occupied_beds_without_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,occupied_beds_with_oxygen,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,area,occupied_icu_beds_with_ventilator,available_beds_without_oxygen,total_icu_beds_without_ventilator,occupied_icu_beds_without_ventilator
59,0,44,382346,10,10,,Rugved Hospital,0,3,26,"Shreeram Complex, Opp Nilkanth Mahadev Temple, Sardar Chowk, Krishnanagar, Ahmedabad, Gujarat 382346, India",Ahmedabad,26,0,India colony,3,0,5,5
60,0,173,382350,112,109,,"Kothiya Hospital, Nikol,",0,11,21,"Cross Road, nr torrent power, Nikol Gam Rd, Uttamnagar, Thakkarbapanagar, Ahmedabad, Gujarat 382350, India",Ahmedabad,21,0,Thakkar bapanagar,11,3,29,29
61,0,112,380025,58,42,,"Gujarat Cancer Society Medical College Hospital, Naroda",0,6,42,"Opp. D.R.M. Office, Naroda Rd, nr. Chamunda Bridge, Saraspur, Ahmedabad, Gujarat 380025, India",Ahmedabad,42,0,India Colony,6,16,6,6
62,0,23,380024,12,8,,METALIYA HOSPITAL,0,1,8,"9/99, Vallabh flat, Near Diamond market and Dhanvantari, Hospital, Bapunagar, Bapunagar, Ahmedabad, Gujarat 380024, India",Ahmedabad,8,0,BAPUNAGAR,1,4,2,2
63,0,134,382345,56,50,094092 54092,ANAND SURGICAL HOSPITAL,0,6,67,"Anand Surgical Hospital, Near Memco Cross road, Naroda Road., Ambika Nagar, Om Nagar, Saijpur Bogha, Ahmedabad, Gujarat 382345, India",Ahmedabad,67,0,SAIJPUR BOGHA,6,6,5,5
64,0,14,380013,4,4,,RYTHAM HOSPITAL,0,1,5,"1st Floor, Shashwat Complex, Char Rasta, Savita Society, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013, India",Ahmedabad,5,0,Ahmedabad,1,0,4,4
65,0,22,380024,9,8,,Tapan Hospital bapunagar,0,2,6,"7/75, Vallabh Flat, Cross Rd, Bapunagar, Ahmedabad, Gujarat 380024, India",Ahmedabad,6,0,RAKHIYAL,2,1,5,5
66,0,0,380024,0,0,,Apollo Prime hospital,0,0,0,"210, 2nd floor, Pushkar Business Park, Bapunagar, Ahmedabad, Gujarat 380024, India",Ahmedabad,0,0,BAPUNAGAR,0,0,0,0
67,0,42,382340,13,4,,"Sindhu Hospital, Kubernagar",0,2,19,"Maya Cinema Rd, Kuber Nagar, Ahmedabad, Gujarat 382340, India",Ahmedabad,19,0,Sardarnagar,2,9,8,8
68,0,45,382345,25,20,,Chaudhry hospital,0,1,15,"A-19, Naroda Rd, Krishna Nagar, Kuber Nagar, Ahmedabad, Gujarat 382345, India",Ahmedabad,15,0,NARODA,1,5,4,4
69,0,34,380024,10,10,,Shree Dhanvantari,0,0,17,"Dhanvantari General Hospital, Vijay Chowk, Bapu Nagar, Bapu Nagar, Bapunagar, Ahmedabad, Gujarat 380024, India",Ahmedabad,17,0,BAPUNAGAR,0,0,7,7
70,0,28,382330,14,14,,"Nims hospital, naroda",0,1,9,"National Highway 8, Medicon Arcade, National Highway 8, Anjaney Krupa Society, Naroda, Ahmedabad, Gujarat 382330, India",Ahmedabad,9,0,NARODA,1,0,4,4
71,0,39,380023,0,0,,Narayana,0,5,10,"Nr. Chakudiya Mahadev, Police Station, Cross Rd, opp. Rakhial, Rakhial, Ahmedabad, Gujarat 380023, India",Ahmedabad,10,0,RAKHIYAL,5,0,24,24
72,0,22,382330,3,3,,"Parth hospital, Naroda",0,1,15,"E/408-11, 4th, Galaxy Arcade, Galaxy Rd, Near Galaxy Cinema, Chandresh Society, Makarpura, GIDC Naroda, Ahmedabad, Gujarat 382330, India",Ahmedabad,15,0,Ahmedabad,1,0,3,3
73,0,43,382345,6,0,,Venus,0,3,14,"313-315City centre arcade,3rd floor, Krishnanagar, near SRP ground, Naroda Patiya, Naroda, Ahmedabad, Gujarat 382345, India",Ahmedabad,14,0,NARODA,3,6,20,20
74,0,30,380025,7,7,,Shaiva children Hospital,0,6,15,"2nd and 3rd Floor, Pushpak Arcade, Hirawadi Corner, No.8, National Highway, Hirawadi, Bapunagar, Ahmedabad, Gujarat 380025, India",Ahmedabad,15,0,HIRAWADI,6,0,2,2
75,0,73,,10,10,,Kakadiya Hospital,0,6,21,,Ahmedabad,21,0,BAPUNAGAR,6,0,36,36
76,0,72,382350,36,29,,Rabadia Multi Spe. Hospital Nikol,0,5,26,"201, Angan Complex, nr. Deepak School, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,26,0,Nikol,5,7,5,5
